order 	 paths 	 value 
1	1 nan nan nan nan nan	64.7143
2	1 1 nan nan nan nan	3.08163
3	1 1 2 nan nan nan	2.1551
4	1 1 2 2 nan nan	0.287347
5	1 1 2 2 2 nan	0.0383129
6	1 1 2 2 2 4	0.00766259
5	1 1 2 2 4 nan	0.0563425
4	1 1 2 4 nan nan	0.422569
3	1 1 3 nan nan nan	1.42177
6	1 1 3 1 1 4	0.00372684
5	1 1 3 1 2 nan	0.0820991
6	1 1 3 1 2 4	0.0164198
5	1 1 3 1 4 nan	0.100612
4	1 1 3 2 nan nan	0.179592
6	1 1 3 2 1 4	0.00665508
5	1 1 3 2 2 nan	0.0239456
6	1 1 3 2 2 4	0.00478912
5	1 1 3 2 4 nan	0.0352141
4	1 1 3 4 nan nan	0.704282
3	1 1 4 nan nan nan	2.64106
2	1 2 nan nan nan nan	45.2571
6	1 2 1 1 1 4	0.00232928
5	1 2 1 1 2 nan	0.136832
6	1 2 1 1 2 4	0.0273664
5	1 2 1 1 4 nan	0.167686
4	1 2 1 2 nan nan	0.51312
6	1 2 1 2 1 4	0.0110918
5	1 2 1 2 2 nan	0.0684159
6	1 2 1 2 2 4	0.0136832
5	1 2 1 2 4 nan	0.100612
4	1 2 1 4 nan nan	0.628823
3	1 2 2 nan nan nan	6.03429
6	1 2 2 1 1 4	0.00665508
5	1 2 2 1 2 nan	0.122171
6	1 2 2 1 2 4	0.0244343
5	1 2 2 1 4 nan	0.14972
4	1 2 2 2 nan nan	0.804571
6	1 2 2 2 1 4	0.00990339
5	1 2 2 2 2 nan	0.107276
6	1 2 2 2 2 4	0.0214552
5	1 2 2 2 4 nan	0.157759
4	1 2 2 4 nan nan	1.18319
3	1 2 3 nan nan nan	5.30794
6	1 2 3 1 1 4	0.0104352
5	1 2 3 1 2 nan	0.229878
6	1 2 3 1 2 4	0.0459755
5	1 2 3 1 4 nan	0.281713
4	1 2 3 2 nan nan	0.670476
6	1 2 3 2 1 4	0.0186342
5	1 2 3 2 2 nan	0.0893968
6	1 2 3 2 2 4	0.0178794
5	1 2 3 2 4 nan	0.131466
4	1 2 3 4 nan nan	2.62932
3	1 2 4 nan nan nan	8.87395
2	1 3 nan nan nan nan	29.8571
6	1 3 1 1 1 4	0.00869597
5	1 3 1 1 2 nan	0.510839
6	1 3 1 1 2 4	0.102168
5	1 3 1 1 4 nan	0.626028
4	1 3 1 2 nan nan	1.72408
6	1 3 1 2 1 4	0.0414094
5	1 3 1 2 2 nan	0.229878
6	1 3 1 2 2 4	0.0459755
5	1 3 1 2 4 nan	0.338055
4	1 3 1 4 nan nan	2.11285
3	1 3 2 nan nan nan	3.77143
6	1 3 2 1 1 4	0.0223611
5	1 3 2 1 2 nan	0.410496
6	1 3 2 1 2 4	0.0820991
5	1 3 2 1 4 nan	0.503058
4	1 3 2 2 nan nan	0.502857
6	1 3 2 2 1 4	0.0332754
5	1 3 2 2 2 nan	0.0670476
6	1 3 2 2 2 4	0.0134095
5	1 3 2 2 4 nan	0.0985994
4	1 3 2 4 nan nan	0.739496
3	1 3 3 nan nan nan	4.97619
6	1 3 3 1 1 4	0.00652197
5	1 3 3 1 2 nan	0.143673
6	1 3 3 1 2 4	0.0287347
5	1 3 3 1 4 nan	0.17607
4	1 3 3 2 nan nan	0.628571
6	1 3 3 2 1 4	0.0116464
5	1 3 3 2 2 nan	0.0838095
6	1 3 3 2 2 4	0.0167619
5	1 3 3 2 4 nan	0.123249
4	1 3 3 4 nan nan	2.46499
3	1 3 4 nan nan nan	14.7899
2	1 4 nan nan nan nan	55.4622
6	1 4 1 1 1 4	0.00815247
5	1 4 1 1 2 nan	0.478912
6	1 4 1 1 2 4	0.0957823
5	1 4 1 1 4 nan	0.586901
4	1 4 1 2 nan nan	2.87347
6	1 4 1 2 1 4	0.0388213
5	1 4 1 2 2 nan	0.383129
6	1 4 1 2 2 4	0.0766259
5	1 4 1 2 4 nan	0.563425
4	1 4 1 4 nan nan	3.52141
3	1 4 2 nan nan nan	9.98319
6	1 4 2 1 1 4	0.0372684
5	1 4 2 1 2 nan	0.684159
6	1 4 2 1 2 4	0.136832
5	1 4 2 1 4 nan	0.838431
4	1 4 2 2 nan nan	1.33109
6	1 4 2 2 1 4	0.055459
5	1 4 2 2 2 nan	0.177479
6	1 4 2 2 2 4	0.0354958
5	1 4 2 2 4 nan	0.260999
4	1 4 2 4 nan nan	1.95749
3	1 4 3 nan nan nan	1.46359
6	1 4 3 1 1 4	0.017264
5	1 4 3 1 2 nan	0.380312
6	1 4 3 1 2 4	0.0760624
5	1 4 3 1 4 nan	0.466069
4	1 4 3 2 nan nan	0.184874
6	1 4 3 2 1 4	0.0308287
5	1 4 3 2 2 nan	0.0246499
6	1 4 3 2 2 4	0.00492997
5	1 4 3 2 4 nan	0.0362498
