path 	 value 
1 	64.71429 
1/1 	3.081633 
1/1/1 	0.1467444 
1/1/2 	2.155102 
1/1/3 	1.421769 
1/1/4 	2.641056 
1/2 	45.25714 
1/2/1 	4.108844 
1/2/1/1 	0.1956592 
1/2/1/2 	2.873469 
1/2/1/3 	1.895692 
1/2/1/4 	3.521409 
1/2/2 	6.034286 
1/2/2/1 	0.5478458 
1/2/2/2 	0.8045714 
1/2/2/3 	0.7077249 
1/2/2/4 	1.183193 
1/2/3 	5.307937 
1/2/3/1 	0.3652305 
1/2/3/2 	0.6704762 
1/2/3/3 	0.8846561 
1/2/3/4 	2.629318 
1/2/4 	8.87395 
1/2/4/1 	0.580072 
1/2/4/2 	1.597311 
1/2/4/3 	0.2341737 
1/2/4/4 	1.043994 
1/3 	29.85714 
1/3/1 	2.054422 
1/3/2 	3.771429 
1/3/2/1 	0.3424036 
1/3/2/2 	0.5028571 
1/3/2/3 	0.442328 
1/3/2/4 	0.7394958 
1/3/3 	4.97619 
1/3/3/1 	0.3424036 
1/3/3/2 	0.6285714 
1/3/3/3 	0.8293651 
1/3/3/4 	2.464986 
1/3/4 	14.78992 
1/3/4/1 	0.9667867 
1/3/4/2 	2.662185 
1/3/4/3 	0.3902894 
1/3/4/4 	1.73999 
1/4 	55.46218 
1/4/1 	3.62545 
1/4/1/1 	0.1726405 
1/4/1/2 	2.535414 
1/4/1/3 	1.672669 
1/4/1/4 	3.107125 
1/4/2 	9.983193 
1/4/2/1 	0.9063625 
1/4/2/2 	1.331092 
1/4/2/3 	1.170868 
1/4/2/4 	1.957489 
1/4/3 	1.463585 
1/4/4 	6.524963 
1/4/4/1 	0.4265236 
1/4/4/2 	1.174493 
1/4/4/3 	0.1721865 
1/4/4/4 	0.7676427 
2 	132 
2/1 	11.98413 
2/1/1 	0.5706727 
2/1/2 	8.380952 
2/1/2/1 	0.760897 
2/1/2/2 	1.11746 
2/1/2/3 	0.9829512 
2/1/2/4 	1.643324 
2/1/3 	5.529101 
2/1/3/1 	0.3804485 
2/1/3/2 	0.6984127 
2/1/3/3 	0.9215168 
2/1/3/4 	2.738873 
2/1/4 	10.27077 
2/1/4/1 	0.6713797 
2/1/4/2 	1.848739 
2/1/4/3 	0.2710343 
2/1/4/4 	1.208326 
2/2 	17.6 
2/2/1 	1.597884 
2/2/2 	2.346667 
2/2/3 	2.064198 
2/2/4 	3.45098 
2/2/4/1 	0.2255836 
2/2/4/2 	0.6211765 
2/2/4/3 	0.09106754 
2/2/4/4 	0.4059977 
2/3 	15.48148 
2/3/1 	1.065256 
2/3/2 	1.955556 
2/3/3 	2.580247 
2/3/4 	7.668845 
2/3/4/1 	0.5012968 
2/3/4/2 	1.380392 
2/3/4/3 	0.2023723 
2/3/4/4 	0.9022171 
2/4 	25.88235 
2/4/1 	1.691877 
2/4/2 	4.658824 
2/4/2/1 	0.4229692 
2/4/2/2 	0.6211765 
2/4/2/3 	0.5464052 
2/4/2/4 	0.9134948 
2/4/3 	0.6830065 
2/4/4 	3.044983 
2/4/4/1 	0.1990443 
2/4/4/2 	0.5480969 
2/4/4/3 	0.08035371 
2/4/4/4 	0.3582333 
3 	46.44444 
3/1 	3.195767 
3/1/1 	0.1521794 
3/1/2 	2.234921 
3/1/3 	1.474427 
3/1/4 	2.738873 
3/2 	5.866667 
3/2/1 	0.5326279 
3/2/2 	0.7822222 
3/2/3 	0.6880658 
3/2/4 	1.150327 
3/3 	7.740741 
3/3/1 	0.5326279 
3/3/2 	0.9777778 
3/3/3 	1.290123 
3/3/4 	3.834423 
3/3/4/1 	0.2506484 
3/3/4/2 	0.6901961 
3/3/4/3 	0.1011862 
3/3/4/4 	0.4511085 
3/4 	23.00654 
3/4/1 	1.50389 
3/4/2 	4.141176 
3/4/2/1 	0.3759726 
3/4/2/2 	0.5521569 
3/4/2/3 	0.4856935 
3/4/2/4 	0.8119954 
3/4/3 	0.6071169 
3/4/4 	2.706651 
4 	77.64706 
4/1 	5.07563 
4/1/1 	0.2416967 
4/1/2 	3.54958 
4/1/2/1 	0.3222622 
4/1/2/2 	0.4732773 
4/1/2/3 	0.4163087 
4/1/2/4 	0.695996 
4/1/3 	2.341737 
4/1/4 	4.349975 
4/1/4/1 	0.284349 
4/1/4/2 	0.7829956 
4/1/4/3 	0.114791 
4/1/4/4 	0.5117618 
4/2 	13.97647 
4/2/1 	1.268908 
4/2/2 	1.863529 
4/2/3 	1.639216 
4/2/4 	2.740484 
4/3 	2.04902 
4/4 	9.134948 
4/4/1 	0.597133 
4/4/2 	1.644291 
4/4/3 	0.2410611 
4/4/4 	1.0747 
